<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAUS.US,D,20250729,000000,50.43,50.43,50.3613,50.3613,219,0
AAUS.US,D,20250730,000000,50.56,50.56,50.4217,50.4217,479,0
AAUS.US,D,20250804,000000,50.03,50.0972,50.03,50.0972,175,0
AAUS.US,D,20250805,000000,50.2,50.2002,49.969,49.969,11007,0
AAUS.US,D,20250806,000000,50.6071,50.6561,50.6071,50.6561,1242,0
AAUS.US,D,20250807,000000,51.17,51.17,50.8519,50.8519,115,0
AAUS.US,D,20250808,000000,51.19,51.2258,51.19,51.2258,158,0
AAUS.US,D,20250811,000000,51.25,51.25,51.0568,51.0568,10578,0
AAUS.US,D,20250812,000000,51.27,51.6905,51.27,51.6905,1949,0
AAUS.US,D,20250813,000000,51.66,51.8094,51.66,51.8094,101,0
AAUS.US,D,20250814,000000,51.69,51.8543,51.69,51.8543,106,0
AAUS.US,D,20250815,000000,51.63,51.6503,51.63,51.6503,105,0
AAUS.US,D,20250818,000000,51.67,51.6928,51.59,51.6928,7426,0
AAUS.US,D,20250819,000000,51.63,51.63,51.2281,51.2281,905,0
AAUS.US,D,20250820,000000,50.71,51.13,50.71,51.1056,881,0
AAUS.US,D,20250821,000000,50.89,51.01,50.88,50.9076,704,0
AAUS.US,D,20250822,000000,51.18,51.76,50.665,51.7063,1806,0
AAUS.US,D,20250825,000000,51.55,51.7,51.46,51.5649,1981,0
AAUS.US,D,20250826,000000,51.55,51.791,51.36,51.791,10883,0
AAUS.US,D,20250827,000000,51.86,51.9614,51.86,51.9614,1858,0
AAUS.US,D,20250829,000000,51.83,51.8734,51.83,51.8734,696,0
AAUS.US,D,20250909,000000,52.3,52.5069,52.3,52.5069,2432,0
AAUS.US,D,20250910,000000,52.6058,52.6629,52.57,52.6629,5166,0
AAUS.US,D,20250911,000000,53.07,53.07,53.0696,53.0696,242,0
AAUS.US,D,20250915,000000,53.3499,53.3499,53.3134,53.3341,411,0
