<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABI.US,D,20250627,000000,25.05,25.05,25.05,25.05,6,0
ABI.US,D,20250701,000000,25.07,25.07,25.06,25.06,1060003,0
ABI.US,D,20250709,000000,25.05,25.05,25.04,25.04,400003,0
ABI.US,D,20250723,000000,25.07,25.075,25.07,25.075,320202,0
ABI.US,D,20250724,000000,25.06,25.07,25.06,25.07,280413,0
ABI.US,D,20250725,000000,25.09,25.12,25.08,25.095,2046,0
ABI.US,D,20250729,000000,25.13,25.13,25.13,25.13,399,0
ABI.US,D,20250808,000000,25.14,25.145,25.1399,25.145,1006,0
ABI.US,D,20250811,000000,25.14,25.14,25.14,25.14,3605,0
ABI.US,D,20250812,000000,25.15,25.15,25.15,25.15,100187,0
ABI.US,D,20250814,000000,25.15,25.15,25.15,25.15,160,0
ABI.US,D,20250818,000000,25.18,25.27,25.17,25.17,3613,0
ABI.US,D,20250916,000000,25.07,25.07,25.055,25.055,111,0
