<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABIG.US,D,20250409,000000,25.08,27.397,24.99,27.397,111411,0
ABIG.US,D,20250410,000000,26.75,26.75,26.45,26.575,18640,0
ABIG.US,D,20250411,000000,26.42,27.1398,26.42,27.1044,19557,0
ABIG.US,D,20250414,000000,27.37,27.4319,27.2663,27.2663,2385,0
ABIG.US,D,20250415,000000,27.44,27.44,27.22,27.2345,9435,0
ABIG.US,D,20250416,000000,26.93,27.025,26.44,26.6774,14451,0
ABIG.US,D,20250417,000000,26.67,26.67,26.325,26.39,24061,0
ABIG.US,D,20250421,000000,25.82,25.82,25.44,25.7103,14894,0
ABIG.US,D,20250422,000000,26.1,26.3284,26.08,26.3284,14763,0
ABIG.US,D,20250423,000000,27.16,27.16,26.79,26.8533,39406,0
ABIG.US,D,20250424,000000,27.0617,27.46,27.0599,27.4481,127211,0
ABIG.US,D,20250425,000000,27.41,27.53,27.41,27.5238,1691,0
ABIG.US,D,20250428,000000,27.56,27.59,27.375,27.5351,51671,0
ABIG.US,D,20250429,000000,27.49,27.71,27.49,27.6829,9737,0
ABIG.US,D,20250430,000000,27.26,27.79,27.11,27.7585,55291,0
ABIG.US,D,20250501,000000,28.15,28.25,28.0081,28.0081,9802,0
ABIG.US,D,20250502,000000,28.38,28.4599,28.37,28.3744,13314,0
ABIG.US,D,20250505,000000,28.31,28.4599,28.23,28.2596,32777,0
ABIG.US,D,20250506,000000,28.13,28.23,27.99,28.0536,9668,0
ABIG.US,D,20250507,000000,28.135,28.18,27.99,28.1431,33263,0
ABIG.US,D,20250508,000000,28.13,28.47,28.13,28.1929,6773,0
ABIG.US,D,20250509,000000,28.2417,28.2417,28.06,28.1581,17640,0
ABIG.US,D,20250512,000000,28.89,29.12,28.805,29.0835,10408,0
ABIG.US,D,20250513,000000,29.18,29.36,29.18,29.2527,27694,0
ABIG.US,D,20250514,000000,29.21,29.23,29.15,29.1922,7288,0
ABIG.US,D,20250515,000000,29.13,29.3298,29.12,29.3205,2623,0
ABIG.US,D,20250516,000000,29.305,29.4713,29.305,29.4713,2111,0
ABIG.US,D,20250519,000000,29.42,29.5595,29.38,29.5003,3569,0
ABIG.US,D,20250520,000000,29.37,29.38,29.16,29.269,1564,0
ABIG.US,D,20250521,000000,29.02,29.02,28.71,28.7277,3413,0
ABIG.US,D,20250522,000000,28.71,28.88,28.6946,28.6946,11993,0
ABIG.US,D,20250523,000000,28.28,28.415,28.27,28.295,6159,0
ABIG.US,D,20250527,000000,28.62,28.7054,28.6199,28.7054,1474,0
ABIG.US,D,20250528,000000,28.81,28.81,28.5765,28.5765,9875,0
ABIG.US,D,20250529,000000,28.665,28.69,28.615,28.6291,1758,0
ABIG.US,D,20250530,000000,28.6,28.6688,28.6,28.6688,133,0
ABIG.US,D,20250603,000000,28.77,28.85,28.77,28.8348,2623,0
ABIG.US,D,20250604,000000,28.91,28.91,28.8676,28.8676,558,0
ABIG.US,D,20250606,000000,29.1399,29.1399,29.1225,29.1225,161,0
ABIG.US,D,20250609,000000,29.119,29.14,29.1,29.107,18833,0
ABIG.US,D,20250610,000000,29.15,29.2372,29.1,29.2372,3683,0
ABIG.US,D,20250611,000000,29.36,29.37,29.09,29.1606,9164,0
ABIG.US,D,20250612,000000,29.27,29.28,29.2604,29.2701,6761,0
ABIG.US,D,20250613,000000,28.89,29.06,28.7946,28.7946,10069,0
ABIG.US,D,20250616,000000,29.12,29.17,28.995,29.0022,24956,0
ABIG.US,D,20250617,000000,29,29.06,28.875,28.8943,3610,0
ABIG.US,D,20250618,000000,28.96,29.02,28.6698,28.6698,14037,0
ABIG.US,D,20250620,000000,28.75,28.75,28.51,28.5638,16435,0
ABIG.US,D,20250623,000000,28.68,28.87,28.56,28.8585,4229,0
ABIG.US,D,20250624,000000,29.13,29.27,29.13,29.2506,48706,0
ABIG.US,D,20250625,000000,29.29,29.32,29.2099,29.2099,3633,0
ABIG.US,D,20250626,000000,29.46,29.4934,29.45,29.4934,479,0
ABIG.US,D,20250627,000000,29.54,29.7294,29.52,29.7294,5793,0
ABIG.US,D,20250630,000000,29.76,29.89,29.76,29.89,4665,0
ABIG.US,D,20250701,000000,29.78,29.89,29.78,29.8649,834,0
ABIG.US,D,20250707,000000,30.13,30.15,30.07,30.07,485,0
ABIG.US,D,20250708,000000,30.05,30.05,30.0266,30.0266,279,0
ABIG.US,D,20250709,000000,30.26,30.2852,30.16,30.2852,16438,0
ABIG.US,D,20250710,000000,30.3699,30.3699,30.2936,30.2936,367,0
ABIG.US,D,20250711,000000,30.19,30.22,30.11,30.12,5534,0
ABIG.US,D,20250714,000000,30.28,30.28,30.2521,30.2521,127,0
ABIG.US,D,20250715,000000,30.2002,30.2002,30.1339,30.1339,6787,0
ABIG.US,D,20250716,000000,30.04,30.16,30.03,30.1433,842,0
ABIG.US,D,20250717,000000,30.26,30.3628,30.21,30.3628,1477,0
ABIG.US,D,20250718,000000,30.29,30.29,30.2695,30.2695,701,0
ABIG.US,D,20250721,000000,30.46,30.46,30.319,30.319,1674,0
ABIG.US,D,20250722,000000,30.44,30.5928,30.44,30.5928,8873,0
ABIG.US,D,20250723,000000,30.685,30.6962,30.685,30.6962,294,0
ABIG.US,D,20250724,000000,31.09,31.09,31.0436,31.0436,210,0
ABIG.US,D,20250728,000000,31.0859,31.1,31.04,31.056,5345,0
ABIG.US,D,20250729,000000,31.11,31.11,31.055,31.055,1698,0
ABIG.US,D,20250730,000000,31.11,31.11,30.995,30.995,528,0
ABIG.US,D,20250731,000000,31.2,31.2,30.8131,30.8131,7679,0
ABIG.US,D,20250801,000000,30.31,30.31,30.2402,30.2703,893,0
ABIG.US,D,20250804,000000,30.62,30.73,30.62,30.7,6828,0
ABIG.US,D,20250805,000000,30.56,30.56,30.4428,30.4428,8612,0
ABIG.US,D,20250806,000000,30.5,30.71,30.44,30.6763,6715,0
ABIG.US,D,20250807,000000,30.64,30.64,30.37,30.457,1001,0
ABIG.US,D,20250808,000000,30.6,30.7,30.6,30.6649,3259,0
ABIG.US,D,20250811,000000,30.7,30.7,30.5899,30.5899,1618,0
ABIG.US,D,20250812,000000,30.88,30.94,30.88,30.935,22900,0
ABIG.US,D,20250813,000000,31.04,31.1257,31.025,31.1257,1720,0
ABIG.US,D,20250814,000000,31.14,31.17,31.1,31.152,26787,0
ABIG.US,D,20250815,000000,30.99,31.02,30.93,30.9389,8644,0
ABIG.US,D,20250818,000000,30.9095,30.96,30.9095,30.9226,2194,0
ABIG.US,D,20250819,000000,30.92,30.95,30.7549,30.7549,232,0
ABIG.US,D,20250820,000000,30.46,30.64,30.46,30.6105,381,0
ABIG.US,D,20250821,000000,30.45,30.45,30.3881,30.3881,312,0
ABIG.US,D,20250822,000000,30.5399,30.92,30.515,30.8973,75849,0
ABIG.US,D,20250825,000000,30.8201,30.94,30.7915,30.7915,14182,0
ABIG.US,D,20250826,000000,30.78,30.88,30.775,30.8593,1585,0
ABIG.US,D,20250827,000000,30.9,30.9481,30.88,30.9481,3728,0
ABIG.US,D,20250829,000000,30.93,30.9371,30.93,30.9371,120,0
ABIG.US,D,20250902,000000,30.64,30.7291,30.64,30.7291,5638,0
ABIG.US,D,20250903,000000,30.85,30.87,30.76,30.8361,5219,0
ABIG.US,D,20250904,000000,30.92,31.1618,30.92,31.1618,5057,0
ABIG.US,D,20250905,000000,31.32,31.32,31.06,31.1203,3389,0
ABIG.US,D,20250908,000000,31.32,31.37,31.315,31.3391,2032,0
ABIG.US,D,20250909,000000,31.29,31.31,31.29,31.3059,660,0
ABIG.US,D,20250911,000000,31.41,31.5342,31.41,31.5342,171,0
ABIG.US,D,20250912,000000,31.42,31.4201,31.3875,31.3875,3520,0
ABIG.US,D,20250915,000000,31.54,31.5621,31.51,31.5621,23081,0
ABIG.US,D,20250916,000000,31.55,31.55,31.543,31.543,258,0
ABIG.US,D,20250917,000000,31.48,31.48,31.29,31.4253,13421,0
ABIG.US,D,20250918,000000,31.62,31.68,31.55,31.5772,8007,0
ABIG.US,D,20250919,000000,31.66,31.7356,31.62,31.7356,527,0
