<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACWI.US,D,20080328,000000,37.5131,37.5131,37.5131,37.5131,269.033,0
ACWI.US,D,20080331,000000,37.4379,37.4379,36.9332,36.9332,532.685,0
ACWI.US,D,20080401,000000,37.6273,37.9257,37.5595,37.9257,778.043,0
ACWI.US,D,20080402,000000,41.7133,41.7133,38.2239,38.3457,14286.7,0
ACWI.US,D,20080403,000000,44.7036,44.7036,38.1515,38.5621,38747.2,0
ACWI.US,D,20080404,000000,38.1895,41.1455,38.1895,38.5417,13127.7,0
ACWI.US,D,20080407,000000,39.6782,39.6782,38.3754,38.7639,15029.2,0
ACWI.US,D,20080408,000000,39.3121,39.3121,38.4358,39.0018,974.976,0
ACWI.US,D,20080409,000000,38.4293,38.4293,38.2128,38.2807,5686.28,0
ACWI.US,D,20080410,000000,38.5621,38.5621,38.0668,38.2807,9125.6,0
ACWI.US,D,20080411,000000,37.4694,38.0529,37.4694,37.6709,702.714,0
ACWI.US,D,20080414,000000,38.3316,38.3316,37.7388,37.8198,5207.4,0
ACWI.US,D,20080415,000000,38.3392,38.3392,37.7453,37.9257,4041.95,0
ACWI.US,D,20080416,000000,38.3392,38.7869,38.3316,38.4405,3796.59,0
ACWI.US,D,20080417,000000,38.6969,39.6114,38.6784,38.958,21893.9,0
ACWI.US,D,20080418,000000,39.8966,39.8966,39.0862,39.3855,12927.5,0
ACWI.US,D,20080421,000000,42.1277,45.2648,39.2888,39.5658,78870.8,0
ACWI.US,D,20080422,000000,39.2061,39.4618,39.0341,39.2061,4697.31,0
ACWI.US,D,20080423,000000,39.3855,39.5658,39.0723,39.3047,28615.4,0
ACWI.US,D,20080424,000000,38.9377,39.417,38.9377,39.3176,9455.97,0
ACWI.US,D,20080425,000000,39.5954,39.5954,39.3632,39.4756,2217.9,0
ACWI.US,D,20080428,000000,40.0611,40.0611,39.6568,39.7981,21401,0
ACWI.US,D,20080429,000000,39.6948,39.6948,39.1615,39.3409,18156.5,0
ACWI.US,D,20080430,000000,39.4839,40.3054,39.4756,39.8725,12920,0
ACWI.US,D,20080501,000000,39.4254,39.8295,39.3632,39.7525,8321.73,0
ACWI.US,D,20080502,000000,40.0611,40.2311,39.9263,40.0016,20544.4,0
ACWI.US,D,20080505,000000,40.1419,40.1419,39.9849,40.1149,5946.7,0
ACWI.US,D,20080506,000000,40.0452,40.3816,39.9784,40.3816,2856.05,0
ACWI.US,D,20080507,000000,40.3371,40.3371,39.6865,39.7099,7000.24,0
ACWI.US,D,20080508,000000,39.8427,40.5071,39.8232,39.8427,253037,0
ACWI.US,D,20080509,000000,39.7692,39.7692,39.4254,39.6698,1338.7,0
ACWI.US,D,20080512,000000,39.7758,40.075,39.7758,40.075,3480.21,0
ACWI.US,D,20080513,000000,40.0174,40.5071,39.8565,40.1224,375767,0
ACWI.US,D,20080514,000000,40.5024,40.5145,40.2107,40.2107,25874.5,0
ACWI.US,D,20080515,000000,40.4264,40.6363,40.4264,40.6363,11169.1,0
ACWI.US,D,20080516,000000,40.8408,40.9829,40.7096,40.9829,5849.85,0
ACWI.US,D,20080519,000000,40.8835,41.3637,40.8835,40.968,16381.9,0
ACWI.US,D,20080520,000000,40.9076,40.9076,40.5629,40.5629,395522,0
ACWI.US,D,20080521,000000,40.7728,40.8249,40.2618,40.2839,16176.4,0
ACWI.US,D,20080522,000000,40.4327,40.5378,40.1715,40.3455,15169.1,0
ACWI.US,D,20080523,000000,40.3455,40.3601,39.0111,39.7172,18364.2,0
ACWI.US,D,20080527,000000,40.8835,40.8835,39.4839,40.024,5260.13,0
ACWI.US,D,20080528,000000,39.8891,40.024,39.7692,40.0174,6370.7,0
ACWI.US,D,20080529,000000,40.0174,41.1165,39.8966,40.2618,329456,0
ACWI.US,D,20080530,000000,40.6986,40.6986,40.2107,40.217,57716.2,0
ACWI.US,D,20080602,000000,40.2767,40.2767,39.7813,39.9096,60735.8,0
ACWI.US,D,20080603,000000,39.9096,40.2618,39.4394,39.815,24865.1,0
ACWI.US,D,20080604,000000,39.5203,39.7246,39.4014,39.4106,3778.3,0
ACWI.US,D,20080605,000000,39.5731,40.2535,39.5731,40.2535,20582.1,0
ACWI.US,D,20080606,000000,39.9413,39.9413,39.1914,39.1914,12620.8,0
ACWI.US,D,20080609,000000,39.1847,39.3047,38.9377,38.9525,5737.93,0
ACWI.US,D,20080610,000000,38.7946,38.7946,38.4953,38.5704,9580.8,0
ACWI.US,D,20080611,000000,38.6088,38.6088,38.1087,38.1087,2479.4,0
ACWI.US,D,20080612,000000,38.0231,38.3838,38.0085,38.1281,18405,0
ACWI.US,D,20080613,000000,38.1281,38.4061,38.1281,38.3922,5128.84,0
ACWI.US,D,20080616,000000,38.7053,38.7053,38.4293,38.6459,4351.87,0
ACWI.US,D,20080617,000000,38.5621,38.7713,38.5621,38.6374,12455.1,0
ACWI.US,D,20080618,000000,38.5621,38.5621,38.2871,38.3615,12991,0
ACWI.US,D,20080619,000000,38.2871,38.2871,37.8521,37.8521,101896,0
ACWI.US,D,20080620,000000,37.9712,38.5557,37.5287,37.5809,47546.7,0
ACWI.US,D,20080623,000000,37.5056,37.7082,37.4379,37.7082,15010.9,0
ACWI.US,D,20080624,000000,37.4379,37.79,37.2463,37.3357,66070.2,0
ACWI.US,D,20080625,000000,37.8448,37.8448,37.5595,37.7388,2400.85,0
ACWI.US,D,20080626,000000,37.6107,37.6107,36.7966,36.7966,29306.3,0
ACWI.US,D,20080627,000000,36.8496,36.9518,36.6145,36.8635,7320.92,0
ACWI.US,D,20080630,000000,37.0011,37.3357,37.0011,37.0084,81704.2,0
ACWI.US,D,20080701,000000,36.5495,36.8998,36.2399,36.7222,53436.4,0
ACWI.US,D,20080702,000000,36.909,36.909,36.0765,36.1424,10794.6,0
ACWI.US,D,20080703,000000,36.2399,36.2399,35.9047,35.9946,7476.96,0
ACWI.US,D,20080707,000000,35.1983,37.9646,35.1907,36.1348,19826.6,0
ACWI.US,D,20080708,000000,35.7522,36.03,35.3823,36.03,4106.52,0
ACWI.US,D,20080709,000000,36.2705,36.6219,35.7195,35.9501,151733,0
ACWI.US,D,20080710,000000,35.8292,36.0606,35.6146,35.8292,41342.8,0
ACWI.US,D,20080711,000000,35.6359,35.8292,35.2391,35.569,720366,0
ACWI.US,D,20080714,000000,35.6722,35.8896,35.306,35.425,1644204,0
ACWI.US,D,20080715,000000,35.1907,35.2066,34.5572,35.057,30289.9,0
ACWI.US,D,20080716,000000,34.8627,35.4567,34.7661,35.397,854618,0
ACWI.US,D,20080717,000000,35.9639,36.0374,35.7049,35.8682,164786,0
ACWI.US,D,20080718,000000,37.896,37.896,35.5905,35.8979,7888.05,0
ACWI.US,D,20080721,000000,36.8049,36.8049,36.0458,36.055,409861,0
ACWI.US,D,20080722,000000,35.9418,36.0922,35.8033,36.0374,23672.7,0
ACWI.US,D,20080723,000000,36.3961,36.674,36.3961,36.5252,5416.17,0
ACWI.US,D,20080724,000000,36.5495,36.5495,35.7522,35.7522,17590.4,0
ACWI.US,D,20080725,000000,35.7522,35.9501,35.7195,35.7448,34002.5,0
ACWI.US,D,20080728,000000,35.7122,35.8607,35.3209,35.3209,58560.9,0
ACWI.US,D,20080729,000000,35.2914,35.7687,35.2914,35.7195,20952.2,0
ACWI.US,D,20080730,000000,35.9047,36.1201,35.7049,35.9267,52662.6,0
ACWI.US,D,20080731,000000,35.9639,36.1822,35.8376,35.8376,12392.7,0
ACWI.US,D,20080801,000000,35.7948,35.7948,35.397,35.4185,18518,0
ACWI.US,D,20080804,000000,35.2391,35.2914,34.9679,35.057,20732.7,0
ACWI.US,D,20080805,000000,35.4325,35.6591,35.2606,35.6286,40451.8,0
ACWI.US,D,20080806,000000,35.7865,36.03,35.6805,36.03,10922.7,0
ACWI.US,D,20080807,000000,35.8822,35.8822,35.2914,35.3405,55839.4,0
ACWI.US,D,20080808,000000,35.1331,35.7865,35.1331,35.74,58450.1,0
ACWI.US,D,20080811,000000,35.7865,35.8376,35.7865,35.7948,7019.61,0
ACWI.US,D,20080812,000000,35.7865,35.8208,35.4706,35.5171,102015,0
ACWI.US,D,20080813,000000,35.306,35.4482,35.0283,35.3405,10925.9,0
ACWI.US,D,20080814,000000,35.1907,35.4185,35.1907,35.3738,3455.46,0
ACWI.US,D,20080815,000000,35.2914,35.3357,35.1238,35.2318,28691.8,0
ACWI.US,D,20080818,000000,35.306,35.306,34.795,34.9093,5882.14,0
ACWI.US,D,20080819,000000,34.6593,34.6593,34.3788,34.4734,38055.2,0
ACWI.US,D,20080820,000000,34.5785,34.8405,34.4809,34.676,10462.1,0
ACWI.US,D,20080821,000000,34.7736,35.0969,34.7188,35.0283,102201,0
ACWI.US,D,20080822,000000,35.0283,35.2391,35.0283,35.149,10467.5,0
ACWI.US,D,20080825,000000,35.0366,35.0366,34.467,34.5572,54324.2,0
ACWI.US,D,20080826,000000,34.4958,34.7188,34.4958,34.7188,7633,0
ACWI.US,D,20080827,000000,34.8405,35.7604,34.7188,34.9679,28963,0
ACWI.US,D,20080828,000000,35.1407,35.4037,35.1407,35.4037,18143.5,0
ACWI.US,D,20080829,000000,35.5532,35.5532,35.215,35.2391,33488.1,0
ACWI.US,D,20080902,000000,35.1659,35.2754,34.6472,34.7588,23489.8,0
ACWI.US,D,20080903,000000,34.6919,34.7188,34.244,34.2811,35569.4,0
ACWI.US,D,20080904,000000,34.5785,34.5785,33.3723,33.3723,495098,0
ACWI.US,D,20080905,000000,33.2812,33.3352,32.6624,33.2467,68876.7,0
ACWI.US,D,20080908,000000,34.296,34.467,33.4625,33.6056,37659.2,0
ACWI.US,D,20080909,000000,33.6808,33.7338,32.6383,32.6383,13100.8,0
ACWI.US,D,20080910,000000,33.0749,33.2467,32.8277,33.125,1142932,0
ACWI.US,D,20080911,000000,32.6995,33.1027,32.1977,33.1027,29437.6,0
ACWI.US,D,20080912,000000,33.1324,33.5824,33.0006,33.4949,23504.8,0
