<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADBG.US,D,20250321,000000,14.52,14.7885,14.52,14.7885,102,0
ADBG.US,D,20250324,000000,15.51,15.51,15.279,15.3576,5567,0
ADBG.US,D,20250325,000000,15.39,16.1,15.39,16.0459,5515,0
ADBG.US,D,20250326,000000,16,16,15.5842,15.5842,1866,0
ADBG.US,D,20250327,000000,15.71,15.8395,15.462,15.462,1878,0
ADBG.US,D,20250328,000000,15.15,15.1511,14.6382,14.6382,996,0
ADBG.US,D,20250331,000000,14.012,14.469,13.97,14.469,848,0
ADBG.US,D,20250401,000000,13.95,14.4023,13.95,14.4023,829,0
ADBG.US,D,20250402,000000,14,14.69,14,14.627,1666,0
ADBG.US,D,20250403,000000,13.692,13.692,13.2007,13.2007,1102,0
ADBG.US,D,20250404,000000,12.71,12.71,11.8844,11.8844,4699,0
ADBG.US,D,20250407,000000,10.92,12.05,10.92,11.2977,3513,0
ADBG.US,D,20250408,000000,11.88,11.88,10.88,11.1923,2740,0
ADBG.US,D,20250409,000000,11.06,12.87,10.86,12.8606,7163,0
ADBG.US,D,20250410,000000,12.11,12.11,11.73,11.8558,1732,0
ADBG.US,D,20250411,000000,11.65,11.9764,11.61,11.9764,1473,0
ADBG.US,D,20250414,000000,12.35,12.35,11.8719,11.8719,2422,0
ADBG.US,D,20250415,000000,12,12.1,11.8271,11.8271,7767,0
ADBG.US,D,20250416,000000,11.37,11.81,11.27,11.45,3790,0
ADBG.US,D,20250417,000000,11.55,11.91,11.55,11.6878,3997,0
ADBG.US,D,20250421,000000,11.26,11.3351,11.06,11.3351,2204,0
ADBG.US,D,20250422,000000,11.57,11.794,11.57,11.753,1071,0
ADBG.US,D,20250423,000000,12.4403,12.5,11.89,11.9128,1249,0
ADBG.US,D,20250424,000000,12.24,12.4867,12.21,12.4867,10432,0
ADBG.US,D,20250425,000000,12.8,13.14,12.44,12.9685,8802,0
ADBG.US,D,20250428,000000,13.13,13.17,12.8499,13.0163,19629,0
ADBG.US,D,20250429,000000,13.29,13.29,12.95,13.1825,5088,0
ADBG.US,D,20250430,000000,12.9,13.5,12.7679,13.43,2784,0
ADBG.US,D,20250501,000000,13.5,13.75,13.41,13.41,5156,0
ADBG.US,D,20250502,000000,13.84,14.01,13.78,13.86,6185,0
ADBG.US,D,20250505,000000,13.82,14.48,13.71,13.88,11069,0
ADBG.US,D,20250506,000000,13.44,14.2,13.44,13.96,6411,0
ADBG.US,D,20250507,000000,13.9401,14.1701,13.9401,14.17,2830,0
ADBG.US,D,20250508,000000,14.27,14.37,14.1,14.1,7250,0
ADBG.US,D,20250509,000000,14.27,14.32,13.9845,14.01,5456,0
ADBG.US,D,20250512,000000,14.91,15.1248,14.7485,14.7485,8234,0
ADBG.US,D,20250513,000000,14.92,15.1562,14.86,15.0229,6896,0
ADBG.US,D,20250514,000000,15.0476,15.2319,15.01,15.2319,9170,0
ADBG.US,D,20250515,000000,15.25,15.89,15.24,15.89,8160,0
ADBG.US,D,20250516,000000,16.99,16.99,16.35,16.5204,5415,0
ADBG.US,D,20250519,000000,16.39,16.83,16.32,16.83,11305,0
ADBG.US,D,20250520,000000,16.57,16.57,16.2851,16.48,5768,0
ADBG.US,D,20250521,000000,16.51,16.934,16.1001,16.29,13546,0
ADBG.US,D,20250522,000000,16.2,16.44,16.17,16.34,1930,0
ADBG.US,D,20250523,000000,15.9,15.9,15.64,15.64,2576,0
ADBG.US,D,20250527,000000,16.15,16.25,16,16.18,9043,0
ADBG.US,D,20250528,000000,16.1,16.35,16.03,16.17,3039,0
ADBG.US,D,20250529,000000,16.2,16.21,15.94,16.15,7104,0
ADBG.US,D,20250530,000000,16.2186,16.46,15.9407,16.29,14639,0
ADBG.US,D,20250602,000000,15.71,15.88,14.8776,15.37,29277,0
ADBG.US,D,20250603,000000,15.28,16.06,15.28,16.06,5504,0
ADBG.US,D,20250604,000000,16.125,16.2437,16,16.18,3800,0
ADBG.US,D,20250605,000000,16.63,16.63,16.125,16.36,11658,0
ADBG.US,D,20250606,000000,16.37,16.37,16.26,16.32,17648,0
ADBG.US,D,20250609,000000,16.32,16.48,16.2,16.29,18783,0
ADBG.US,D,20250610,000000,16.2,16.84,16.0979,16.49,20464,0
ADBG.US,D,20250611,000000,16.16,16.25,15.899,16.25,15368,0
ADBG.US,D,20250612,000000,16.04,16.3798,15.8874,16.24,211989,0
ADBG.US,D,20250613,000000,14.5,14.7855,13.71,14.31,334914,0
ADBG.US,D,20250616,000000,14.5,15.2375,14.25,14.99,112346,0
ADBG.US,D,20250617,000000,14.771,14.8,13.55,13.61,166523,0
ADBG.US,D,20250618,000000,13.68,13.74,13.23,13.23,82015,0
ADBG.US,D,20250620,000000,13.465,13.55,12.94,13.21,50416,0
ADBG.US,D,20250623,000000,13.08,13.39,13.018,13.32,57583,0
ADBG.US,D,20250624,000000,13.74,13.74,13.27,13.55,85567,0
ADBG.US,D,20250625,000000,13.5709,13.92,13.5376,13.91,51637,0
ADBG.US,D,20250626,000000,14.039,14.039,13.5781,13.74,45040,0
ADBG.US,D,20250627,000000,13.78,14.0623,13.7201,13.83,53205,0
ADBG.US,D,20250630,000000,13.86,14.08,13.6803,13.86,24128,0
ADBG.US,D,20250701,000000,13.6,14.23,13.44,14.23,37789,0
ADBG.US,D,20250702,000000,13.75,13.75,12.8,13.24,170841,0
ADBG.US,D,20250703,000000,13.21,13.5,13.21,13.39,31475,0
ADBG.US,D,20250707,000000,13.25,13.3796,12.99,13.1,33750,0
ADBG.US,D,20250708,000000,13.18,13.71,13.12,13.44,57901,0
ADBG.US,D,20250709,000000,13.48,13.5492,12.65,12.87,91917,0
ADBG.US,D,20250710,000000,12.82,12.82,12.28,12.72,86631,0
ADBG.US,D,20250711,000000,12.44,12.48,12.08,12.16,61765,0
ADBG.US,D,20250714,000000,12.02,12.3899,11.9696,12.36,45859,0
ADBG.US,D,20250715,000000,12.2376,12.4198,12.14,12.16,52151,0
ADBG.US,D,20250716,000000,12.23,12.23,11.82,11.99,29682,0
ADBG.US,D,20250717,000000,11.84,12.29,11.84,12.22,54208,0
ADBG.US,D,20250718,000000,12.39,12.39,12.1204,12.2131,16617,0
ADBG.US,D,20250721,000000,12.29,12.3896,12.0857,12.3371,36427,0
ADBG.US,D,20250722,000000,12.53,12.77,12.53,12.695,37168,0
ADBG.US,D,20250723,000000,12.72,12.75,12.47,12.6614,59390,0
ADBG.US,D,20250724,000000,12.62,12.8702,12.53,12.57,59111,0
ADBG.US,D,20250725,000000,12.58,12.62,12.451,12.5252,25181,0
ADBG.US,D,20250728,000000,12.57,12.605,12.384,12.4217,27273,0
ADBG.US,D,20250729,000000,12.47,12.88,12.46,12.5301,78750,0
ADBG.US,D,20250730,000000,12.6,12.6,12.05,12.0938,53072,0
ADBG.US,D,20250731,000000,11.97,11.97,11.45,11.6275,88241,0
ADBG.US,D,20250801,000000,11.48,11.5174,10.96,10.9914,80243,0
ADBG.US,D,20250804,000000,11.095,11.1,10.38,10.4311,202081,0
ADBG.US,D,20250805,000000,10.47,10.66,10.329,10.47,116069,0
ADBG.US,D,20250806,000000,10.7,10.8223,10.44,10.8223,85451,0
ADBG.US,D,20250807,000000,10.73,10.899,10.007,10.3456,191956,0
ADBG.US,D,20250808,000000,10.4,10.53,10.24,10.5112,75520,0
