<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFOS.US,D,20250626,000000,25.15,25.3265,25.04,25.3265,242,0
AFOS.US,D,20250702,000000,25.64,25.74,25.64,25.74,81375,0
AFOS.US,D,20250703,000000,26,26,25.9783,25.9783,110,0
AFOS.US,D,20250708,000000,25.76,25.85,25.76,25.7875,2468,0
AFOS.US,D,20250710,000000,25.993,26.16,25.99,26.1384,4885,0
AFOS.US,D,20250711,000000,26.225,26.2742,26.22,26.2742,1306,0
AFOS.US,D,20250714,000000,26.2988,26.33,26.2985,26.3292,2850,0
AFOS.US,D,20250715,000000,26.29,26.29,26.2226,26.2226,316,0
AFOS.US,D,20250716,000000,26.17,26.2462,26.17,26.2462,300,0
AFOS.US,D,20250717,000000,26.42,26.5719,26.36,26.5719,1890,0
AFOS.US,D,20250718,000000,26.67,26.67,26.5825,26.5825,307,0
AFOS.US,D,20250721,000000,26.7178,26.73,26.5046,26.5046,665,0
AFOS.US,D,20250722,000000,26.21,26.31,26.21,26.2715,320,0
AFOS.US,D,20250724,000000,26.97,26.97,26.889,26.889,770,0
AFOS.US,D,20250725,000000,27.09,27.1524,27.07,27.1524,1502,0
AFOS.US,D,20250728,000000,27.18,27.18,27.1207,27.1207,467,0
AFOS.US,D,20250729,000000,27.1719,27.1719,26.9822,26.9822,1540,0
AFOS.US,D,20250730,000000,27.12,27.17,26.93,27.0431,685,0
AFOS.US,D,20250731,000000,27.28,27.28,27.086,27.086,220,0
AFOS.US,D,20250801,000000,26.63,26.7244,26.63,26.7244,101,0
AFOS.US,D,20250804,000000,27.08,27.1436,27.08,27.1436,161,0
AFOS.US,D,20250805,000000,27.1,27.1,26.9884,26.9884,110,0
AFOS.US,D,20250806,000000,26.99,26.99,26.93,26.9431,5800,0
AFOS.US,D,20250807,000000,27.07,27.1038,27.03,27.1038,202,0
AFOS.US,D,20250808,000000,27.34,27.4179,27.34,27.4179,142,0
AFOS.US,D,20250811,000000,27.51,27.51,27.3704,27.3704,247,0
AFOS.US,D,20250812,000000,27.67,27.7988,27.67,27.7988,193,0
AFOS.US,D,20250813,000000,27.98,27.98,27.66,27.7733,2383,0
AFOS.US,D,20250819,000000,27.5664,27.5664,27.3653,27.3653,404,0
AFOS.US,D,20250820,000000,27,27.2785,27,27.2785,966,0
AFOS.US,D,20250903,000000,28.1199,28.1199,28.0741,28.0741,929,0
AFOS.US,D,20250912,000000,29.27,29.27,29.1956,29.1956,1984,0
AFOS.US,D,20250915,000000,29.4502,29.5041,29.4502,29.5041,432,0
AFOS.US,D,20250917,000000,29.66,29.66,29.4569,29.4569,390,0
AFOS.US,D,20250918,000000,29.83,29.9726,29.83,29.9726,859,0
AFOS.US,D,20250919,000000,30.21,30.21,30.0661,30.0661,310,0
