<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AFSC.US,D,20250218,000000,29.77,29.77,29.62,29.672,347,0
AFSC.US,D,20250219,000000,29.525,29.62,29.525,29.5405,694,0
AFSC.US,D,20250220,000000,29.05,29.06,28.84,28.9568,20207,0
AFSC.US,D,20250221,000000,28.15,28.15,28.1188,28.1188,834,0
AFSC.US,D,20250224,000000,28.13,28.13,28.13,28.13,600,0
AFSC.US,D,20250225,000000,27.87,27.9047,27.74,27.9047,841,0
AFSC.US,D,20250304,000000,26.28,27.06,26.28,26.6006,2057,0
AFSC.US,D,20250307,000000,25.71,26.3807,25.71,26.3807,508,0
AFSC.US,D,20250310,000000,25.79,25.98,25.7476,25.7476,667,0
AFSC.US,D,20250313,000000,25.33,25.3438,25.33,25.3438,1000,0
AFSC.US,D,20250314,000000,25.57,25.83,25.57,25.82,1850,0
AFSC.US,D,20250317,000000,26.01,26.15,26.01,26.15,305,0
AFSC.US,D,20250318,000000,26.01,26.01,25.92,25.92,269,0
AFSC.US,D,20250319,000000,26.17,26.42,26.17,26.41,400,0
AFSC.US,D,20250320,000000,26.51,26.51,26.29,26.29,968,0
AFSC.US,D,20250321,000000,26.37,26.37,26.04,26.12,669,0
AFSC.US,D,20250324,000000,26.7,26.87,26.7,26.87,309,0
AFSC.US,D,20250326,000000,26.83,26.83,26.5,26.5,1292,0
AFSC.US,D,20250327,000000,26.25,26.59,26.25,26.39,698,0
AFSC.US,D,20250328,000000,26.22,26.22,25.88,25.88,210,0
AFSC.US,D,20250401,000000,26.32,26.58,26.32,26.58,200,0
AFSC.US,D,20250402,000000,26.45,27.0088,26.45,27.0088,122,0
AFSC.US,D,20250403,000000,25.11,25.455,25.11,25.14,535,0
AFSC.US,D,20250404,000000,24.03,24.22,23.86,24.15,700,0
AFSC.US,D,20250407,000000,24.352,24.352,23.9572,23.9572,419,0
AFSC.US,D,20250408,000000,23.6301,23.6301,23.24,23.24,247,0
AFSC.US,D,20250409,000000,23.5,25.52,23.5,25.38,487,0
AFSC.US,D,20250410,000000,24.54,24.6,24.28,24.44,1273,0
AFSC.US,D,20250411,000000,24.29,24.77,24.26,24.77,3504,0
AFSC.US,D,20250414,000000,25,25.101,25,25.101,100,0
AFSC.US,D,20250416,000000,24.18,24.9092,24.18,24.9092,310,0
AFSC.US,D,20250421,000000,25.08,25.08,24.5266,24.5266,688,0
AFSC.US,D,20250422,000000,25.19,25.1992,25.19,25.1992,114,0
AFSC.US,D,20250423,000000,26.09,26.09,25.51,25.51,201,0
AFSC.US,D,20250424,000000,25.56,25.99,25.56,25.99,301,0
AFSC.US,D,20250425,000000,25.9,26.008,25.9,26.008,102,0
