<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGEM.US,D,20250218,000000,30.17,30.23,30.05,30.1532,2976,0
AGEM.US,D,20250219,000000,29.87,30.25,29.87,30.21,4320,0
AGEM.US,D,20250220,000000,30.315,30.315,29.762,30.055,3232,0
AGEM.US,D,20250221,000000,30.06,30.68,29.79,29.9375,11656,0
AGEM.US,D,20250224,000000,29.76,29.877,29.76,29.877,347,0
AGEM.US,D,20250225,000000,29.55,29.8186,29.49,29.7409,5206,0
AGEM.US,D,20250226,000000,29.92,29.92,29.67,29.8252,1005,0
AGEM.US,D,20250227,000000,29.63,29.6999,29.5016,29.5016,1431,0
AGEM.US,D,20250228,000000,29.04,29.2891,29.04,29.2891,4797,0
AGEM.US,D,20250303,000000,29.14,29.15,28.6439,28.6439,816,0
AGEM.US,D,20250304,000000,28.62,28.9514,28.5,28.875,2899,0
AGEM.US,D,20250305,000000,29.1,29.2941,29.01,29.2941,2460,0
AGEM.US,D,20250306,000000,29.74,29.74,29.18,29.2722,1664,0
AGEM.US,D,20250307,000000,29.43,29.5306,29.27,29.5306,2633,0
AGEM.US,D,20250310,000000,29.02,29.02,28.84,28.8929,396,0
AGEM.US,D,20250311,000000,28.96,28.9629,28.8,28.9629,3659,0
AGEM.US,D,20250312,000000,29.1,29.3799,29.1,29.3204,2129,0
AGEM.US,D,20250313,000000,29.1072,29.225,29.1,29.2064,962,0
AGEM.US,D,20250314,000000,29.41,29.695,29.41,29.695,722,0
AGEM.US,D,20250317,000000,30.01,30.2599,30.01,30.1948,3854,0
AGEM.US,D,20250318,000000,29.94,29.9979,29.83,29.99,1475,0
AGEM.US,D,20250319,000000,29.9435,30.16,29.9435,30.16,2566,0
AGEM.US,D,20250320,000000,29.79,29.97,29.79,29.8344,2861,0
AGEM.US,D,20250321,000000,29.61,29.7199,29.531,29.7018,5215,0
AGEM.US,D,20250324,000000,29.5,29.8,29.5,29.7536,923,0
AGEM.US,D,20250325,000000,29.82,29.8448,29.79,29.8448,2243,0
AGEM.US,D,20250326,000000,29.76,29.7699,29.61,29.61,301,0
AGEM.US,D,20250327,000000,28.53,29.75,28.53,29.7306,3321,0
AGEM.US,D,20250328,000000,29.47,29.47,29.205,29.2491,10670,0
AGEM.US,D,20250331,000000,28.85,29.13,28.84,29.13,993,0
AGEM.US,D,20250401,000000,29.0361,29.1647,29.0361,29.1647,379,0
AGEM.US,D,20250402,000000,29.2904,29.2904,29.2025,29.2025,302,0
AGEM.US,D,20250403,000000,26.32,28.8699,26.32,28.7594,1281,0
AGEM.US,D,20250404,000000,27.02,27.08,26.78,26.995,842,0
AGEM.US,D,20250407,000000,26.0507,26.0507,24.971,26.0507,741,0
AGEM.US,D,20250408,000000,26.34,26.34,25.5032,25.5032,7220,0
AGEM.US,D,20250409,000000,25.74,27.3822,25.51,27.3822,1472,0
AGEM.US,D,20250410,000000,26.16,26.945,24.64,26.7289,2019,0
AGEM.US,D,20250411,000000,27.4101,27.707,27.4101,27.707,1929,0
AGEM.US,D,20250414,000000,28.1,28.1,27.84,27.9192,2078,0
AGEM.US,D,20250416,000000,27.84,27.89,27.535,27.535,1661,0
AGEM.US,D,20250417,000000,27.94,27.97,27.8881,27.8881,979,0
AGEM.US,D,20250421,000000,25.1,27.98,24.2126,27.9257,6898,0
AGEM.US,D,20250422,000000,28.29,28.4179,28.29,28.3804,922,0
AGEM.US,D,20250423,000000,28.76,28.76,28.6309,28.6309,1443,0
AGEM.US,D,20250424,000000,28.58,29.0591,28.58,29.0591,2027,0
AGEM.US,D,20250425,000000,29.03,29.1769,29.03,29.1769,2444,0
AGEM.US,D,20250428,000000,29.2713,29.2713,29.06,29.2041,675,0
AGEM.US,D,20250429,000000,29.22,29.285,29.2,29.2292,2353,0
AGEM.US,D,20250430,000000,29.1476,29.3596,29.09,29.3596,7852,0
AGEM.US,D,20250501,000000,29.42,29.42,29.35,29.3978,1548,0
AGEM.US,D,20250502,000000,29.9,30.1909,29.9,30.1909,1875,0
AGEM.US,D,20250505,000000,30.39,30.39,30.34,30.34,562,0
AGEM.US,D,20250506,000000,30.25,30.3359,30.25,30.3359,184,0
AGEM.US,D,20250507,000000,30.1,30.1316,30.06,30.1316,960,0
AGEM.US,D,20250508,000000,30.12,30.18,30.07,30.07,285,0
AGEM.US,D,20250509,000000,30.3,30.3,30.2001,30.245,2655,0
AGEM.US,D,20250513,000000,30.94,31.15,30.94,31.145,366,0
AGEM.US,D,20250514,000000,31.42,31.42,31.3761,31.385,1044,0
AGEM.US,D,20250515,000000,31.1,31.3927,31.1,31.3927,205,0
AGEM.US,D,20250516,000000,31.24,31.395,31.24,31.395,1425,0
AGEM.US,D,20250519,000000,31.2498,31.4303,31.2498,31.4303,375,0
AGEM.US,D,20250520,000000,31.31,31.3334,31.31,31.3334,293,0
AGEM.US,D,20250521,000000,31.4355,31.4355,31.3826,31.3826,730,0
AGEM.US,D,20250522,000000,31.28,31.3025,31.28,31.2997,5714,0
AGEM.US,D,20250523,000000,31.1686,31.4214,31.1686,31.4214,3052,0
AGEM.US,D,20250527,000000,31.41,31.545,31.41,31.545,9406,0
AGEM.US,D,20250528,000000,31.61,31.61,31.385,31.4057,2101,0
AGEM.US,D,20250529,000000,31.34,31.5698,31.34,31.5698,2059,0
AGEM.US,D,20250530,000000,31.15,31.27,31.15,31.2314,449,0
AGEM.US,D,20250602,000000,31.36,31.456,31.36,31.456,240,0
AGEM.US,D,20250603,000000,31.48,31.565,31.48,31.565,270,0
AGEM.US,D,20250604,000000,31.9,31.92,31.9,31.92,577,0
AGEM.US,D,20250606,000000,32.11,32.2265,32.11,32.2265,285,0
AGEM.US,D,20250609,000000,32.26,32.4101,32.26,32.4047,999,0
AGEM.US,D,20250610,000000,32.46,32.61,32.41,32.6099,3192,0
AGEM.US,D,20250611,000000,32.861,32.861,32.7,32.755,830,0
AGEM.US,D,20250612,000000,32.65,32.6849,32.65,32.6817,1029,0
AGEM.US,D,20250613,000000,32.23,32.23,32.08,32.1224,1226,0
AGEM.US,D,20250617,000000,32.17,32.1986,32.17,32.1986,324,0
AGEM.US,D,20250618,000000,32.16,32.1838,32.16,32.1838,972,0
AGEM.US,D,20250623,000000,30.73,31.9848,30.73,31.9848,16304,0
AGEM.US,D,20250624,000000,29.1901,32.6894,29.1901,32.6857,1983,0
AGEM.US,D,20250625,000000,32.69,32.79,32.69,32.7661,2264,0
AGEM.US,D,20250626,000000,32.94,33.2,32.94,33.1385,4297,0
AGEM.US,D,20250627,000000,33.1427,33.1427,33.09,33.09,8130,0
AGEM.US,D,20250630,000000,32.95,33.13,32.95,33.07,3849,0
AGEM.US,D,20250701,000000,33.16,33.16,33.03,33.135,414,0
AGEM.US,D,20250702,000000,33.09,33.225,33.09,33.225,2302,0
AGEM.US,D,20250703,000000,33.4673,33.4673,33.42,33.43,431,0
AGEM.US,D,20250707,000000,33.1,33.113,32.91,32.91,1485,0
AGEM.US,D,20250709,000000,33.13,33.1301,33.09,33.1,1758,0
AGEM.US,D,20250710,000000,33.16,33.25,33.16,33.25,438,0
AGEM.US,D,20250711,000000,33.23,33.3048,33.214,33.29,2138,0
AGEM.US,D,20250714,000000,32.87,33.2,32.87,33.2,837,0
AGEM.US,D,20250715,000000,33.44,33.44,33.35,33.41,4825,0
AGEM.US,D,20250716,000000,33.43,33.735,33.43,33.735,1423,0
